index,f1,f1_1,f2,f2_2,f3
0,-1.0,2,2,1,1
1,0.0,0,0,2,0
2,-1.0,0,2,1,2
3,0.0,2,1,0,1
4,1.0,0,1,0,1
5,0.0,1,0,0,1
6,0.0,1,1,2,0
7,-1.0,1,1,1,0
8,0.0,1,1,1,1
9,0.0,0,2,2,1
10,-1.0,2,2,0,1
11,1.0,0,0,1,2
12,1.0,1,1,0,0
13,-1.0,1,2,1,2
14,-1.0,0,2,0,0
15,-1.0,1,2,1,1
16,-1.0,1,1,0,0
17,0.0,0,0,2,0
18,1.0,1,1,0,2
19,1.0,2,0,1,0
20,-1.0,0,0,2,2
21,1.0,0,2,1,2
22,0.0,1,2,2,1
23,-1.0,1,0,0,1
24,-1.0,0,0,0,2
25,-1.0,1,1,2,1
26,0.0,0,2,1,0
27,-1.0,2,1,0,1
28,-1.0,0,2,1,2
29,1.0,0,1,2,1
30,-1.0,2,2,2,1
31,-1.0,2,2,1,1
32,0.0,0,1,1,1
33,-1.0,2,2,2,2
34,-1.0,2,1,1,0
35,1.0,0,1,2,2
36,1.0,1,2,2,1
37,1.0,0,0,2,0
38,0.0,1,0,2,2
39,-1.0,0,1,2,0
40,1.0,2,1,1,2
41,1.0,0,2,1,2
42,0.0,1,0,0,2
43,-1.0,0,0,1,1
44,-1.0,1,0,0,2
45,-1.0,1,0,0,1
46,-1.0,1,0,2,2
47,0.0,0,1,1,0
48,-1.0,2,0,1,1
49,-1.0,2,1,1,2
50,1.0,0,2,1,2
51,-1.0,2,2,1,2
52,1.0,0,1,0,0
53,0.0,1,2,2,0
54,1.0,2,1,0,2
55,0.0,1,2,1,2
56,-1.0,0,1,0,2
57,1.0,0,1,2,1
58,-1.0,0,1,2,2
59,0.0,0,1,0,1
60,-1.0,2,2,2,1
61,1.0,1,2,1,0
62,1.0,2,2,1,0
63,1.0,0,2,2,0
64,-1.0,1,1,1,2
65,1.0,2,1,2,2
66,0.0,1,0,0,2
67,-1.0,1,2,2,0
68,1.0,1,0,2,1
69,0.0,0,2,2,0
70,-1.0,0,0,2,0
71,0.0,1,2,2,0
72,1.0,0,2,1,0
73,1.0,2,0,2,2
74,0.0,0,2,0,2
75,-1.0,1,2,2,1
76,-1.0,1,0,2,2
77,-1.0,2,0,0,1
78,1.0,2,2,2,0
79,0.0,2,1,0,0
80,1.0,2,1,0,0
81,0.0,1,0,2,1
82,-1.0,0,2,2,2
83,0.0,1,1,2,2
84,0.0,1,1,2,1
85,-1.0,0,1,0,1
86,0.0,2,0,1,0
87,-1.0,1,2,1,1
88,1.0,1,1,2,2
89,-1.0,2,1,0,2
90,1.0,2,1,1,1
91,0.0,0,2,0,1
92,-1.0,1,0,0,0
93,-1.0,0,1,2,0
94,1.0,2,1,1,0
95,-1.0,1,2,0,0
96,1.0,1,1,1,1
97,-1.0,2,2,0,0
98,0.0,1,2,1,0
99,0.0,2,2,1,0
